,2020-03-31,2019-03-31,2018-03-31,2017-03-31
INDIANHUME.NS,734084000,863124000,660627000,996764000
INDIGO.NS,-2336780000,1572470000,22423240000,16591470000
INDLMETER.NS,-142411000,20828903,60593612,36127444
INDNIPPON.NS,543430000,585432000,497973000,295673000
INDOCO.NS,241174000,-29040000,411610000,770610000
INDORAMA.NS,-3165400000,-2710600000,-826900000,-814300000
INDOSOLAR.NS,,-5250130000,-1628352000,-579302000
INDOSTAR.NS,-3246272000,2407948000,2003262000,2107954322
INDOTECH.NS,NaN,NaN,NaN,NaN
INDOTHAI.NS,-108458000,-13116000,87261466,32930317
INDOWIND.NS,561000,-122598000,-209843000,-19861000
INDRAMEDCO.NS,436240000,284130000,211030000,262453000
INDSWFTLAB.NS,-211883000,289463000,219758000,-391344000
INDSWFTLTD.NS,NaN,NaN,NaN,NaN
INDTERRAIN.NS,-103400000,257100000,254400000,228400000
INDUSINDBK.NS,44581806000,33007532000,36061208000,28681708000
INEOSSTYRO.NS,-95226000,-124673000,662254000,692798000
INFIBEAM.NS,1079920000,1270240000,882240000,441080000
INFOBEAN.NS,211677723,188949985,167336652,132927768
INFRATEL.NS,32987000000,24938000000,24937000000,27470000000
INFY.NS,2331000000,2199000000,2486000000,2140000000
INGERRAND.NS,846007000,809312000,888882000,772730000
INOXLEISUR.NS,NaN,NaN,NaN,NaN
INOXWIND.NS,-2797116000,-395450000,-1876184000,3032921000
INSECTICID.NS,869131000,1228138000,842913000,596989000
INSPIRISYS.NS,24100000,6700000,98600000,-243600000
INTEGRA.NS,-133964230,-23265509,-20316129,-21856129
INTELLECT.NS,159910000,1313470000,467262000,-223858000
INTENTECH.NS,NaN,NaN,NaN,NaN
INVENTURE.NS,NaN,NaN,NaN,NaN
IOB.NS,-85274035000,-37378810000,-62994905000,-34167386000
IOC.NS,-8931400000,173767000000,221894500000,198494900000
IOLCP.NS,3612900000,2367000000,277000000,46700000
IPCALAB.NS,NaN,NaN,NaN,NaN
IRB.NS,7208630000,8499650000,9196570000,7154740000
IRCON.NS,4853100000,4500700000,4086600000,3839780000
IRCTC.NS,NaN,NaN,NaN,NaN
ISEC.NS,5420000000,4907300000,5534700000,3385900000
ISFT.NS,NaN,NaN,NaN,NaN
ISMTLTD.NS,-2404300000,-2370000000,-2427800000,-2817300000
ITC.NS,153062300000,125923300000,112712000000,102894400000
ITDC.NS,,419423000,115688000,74483000
ITDCEM.NS,431621000,550350000,,
ITI.NS,1508600000,925377000,2305643000,2663905000
IVC.NS,-138624000,-150245000,152367000,61255965
IVP.NS,-86200000,33800000,103900000,108077000
IZMO.NS,111519617,67640416,60515330,46529632
J&KBANK.NS,,,,-16329931000
JAGRAN.NS,2734221000,2605541000,2998474000,3475218000
JAGSNPHARM.NS,78708000,72161000,-115506000,
JAIBALAJI.NS,-1143394000,-1536803000,-2566635000,-2557012000
JAICORPLTD.NS,334900000,-1081006000,-18989000,-182678000
JAIHINDPRO.NS,,-703125000,-2994502000,0
JAINSTUDIO.NS,,-11952000,-11716000,4337000
JAMNAAUTO.NS,NaN,NaN,NaN,NaN
JASH.NS,200967000,85436006,3361943,100864490
JAYAGROGN.NS,-321609910,558035126,534663344,549339992
JAYBARMARU.NS,282270000,520504000,588906000,537741000
JAYNECOIND.NS,-15044700000,-4438725000,-4913644000,-4593072000
JAYSREETEA.NS,-1021630000,-35255000,342224000,169884000
JBCHEPHARM.NS,2720471000,1934663000,1383409000,1840627000
JBFIND.NS,-3335000000,-7580900000,,-3403000000
JBMA.NS,692200000,822919000,704661000,653685000
JCHAC.NS,835300000,859400000,1001500000,813300000
JETAIRWAYS.NS,,,-6364500000,14986800000
JHS.NS,-19791000,-6806000,261492000,219367000
JINDALPHOT.NS,-33956000,-29228000,-24048558,-419694
JINDALPOLY.NS,4886445000,-4086489000,852096000,1874379000
JINDALSAW.NS,5547511000,8501595000,1784971000,1137705000
JINDALSTEL.NS,-1091700000,-16453400000,-14091100000,-22812800000
JINDRILL.NS,NaN,NaN,NaN,NaN
JINDWORLD.NS,NaN,NaN,NaN,NaN
JISLDVREQS.NS,-7151300000,2390940000,2193350000,1694720000
