,2020-03-31,2019-03-31,2018-03-31,2017-03-31
20MICRONS.NS,NaN,NaN,NaN,NaN
21STCENMGM.NS,NaN,NaN,NaN,NaN
DCMNVL.NS,-91366000.0,99564000.0,-97668.0,1118326.0
DCMSHRIRAM.NS,4962900000.0,7748800000.0,8271100000.0,7724800000.0
DCW.NS,23032000.0,-35009000.0,772000.0,-4033000.0
DECCANCE.NS,435405000,583242000,705055000,613840000
DEEPAKFERT.NS,872600000,706700000,1626700000,1543100000
DEEPAKNTR.NS,-8200000.0,-64700000.0,35864000.0,10718000.0
DEEPIND.NS,405957000.0,618835000.0,1427708000.0,1096865000.0
DELTACORP.NS,206300000.0,-497300000.0,934900000.0,70164000.0
DELTAMAGNT.NS,-19595180,10686330,12595820,-16785110
DEN.NS,89640000.0,-720240000.0,641020000.0,-737080000.0
DENORA.NS,8833351.0,6997997.0,-17748141.0,13546000.0
DFMFOODS.NS,NaN,NaN,NaN,NaN
DGCONTENT.NS,171500000.0,-38600000.0,-38600000.0,
DHAMPURSUG.NS,-33200000.0,-256100000.0,185600000.0,17300000.0
DHANBANK.NS,2532193000.0,1726238000.0,1709862000.0,-390871000.0
DHANUKA.NS,247478000.0,-101298000.0,70822000.0,25928000.0
DHARSUGAR.NS,NaN,NaN,NaN,NaN
DHFL.NS,55891600000.0,-6629700000.0,-8718500000.0,-2342600000.0
DHUNINV.NS,122620000,-404086000,953979000,262857000
DIAMONDYD.NS,-22017000.0,-243660000.0,446900000.0,50867000.0
DIAPOWER.NS,,,,-2577312000.0
DICIND.NS,NaN,NaN,NaN,NaN
DIGISPICE.NS,229880000,-368321000,204627000,-355175000
DIGJAMLTD.NS,25223000.0,26099000.0,27182000.0,27974000.0
DISHTV.NS,206800000.0,-2099300000.0,1286400000.0,823900000.0
DIVISLAB.NS,410500000,229600000,-166000000,131500000
DIXON.NS,1205001000,633581000,609008000,475696000
DLF.NS,-5831983000.0,13191971000.0,44638639000.0,7148023000.0
DLINKINDIA.NS,-20414000,-54472000,247592000,-177187000
DMART.NS,13010800000,9025400000,8062600000,4787523000
DNAMEDIA.NS,,26200000.0,10920000.0,-42437000.0
DOLAT.NS,960347481.0,338584712.0,419928757.0,1738205.0
DOLLAR.NS,-148447000.0,13776000.0,93501000.0,-6672000.0
DONEAR.NS,90429000.0,94439000.0,116333000.0,138928000.0
DPSCLTD.NS,391270000,-213906000,-349120000,154678000
DPWIRES.NS,,-818305.0,-627667.0,-355190.0
DQE.NS,63810000.0,110540381.0,343371088.0,399052017.0
DREDGECORP.NS,1173478000,1481418000,1377612000,869280000
DRREDDY.NS,19498000000,18795000000,9806000000,12039000000
DSSL.NS,NaN,NaN,NaN,NaN
DTIL.NS,28737000,14662000,24642000,-13670000
DUCON.NS,,,,-4987696.0
DVL.NS,41806000,-401290000,493199000,-600136000
DWARKESH.NS,358196000.0,327735000.0,312260000.0,299095000.0
DYNAMATECH.NS,188800000.0,-27800000.0,-220300000.0,20300000.0
DYNPRO.NS,NaN,NaN,NaN,NaN
EASTSILK.NS,26125000,53383000,694979000,1451225000
EASUNREYRL.NS,,97635000.0,-116638000.0,-358035000.0
EBIXFOREX.NS,-41291000.0,-56374000.0,635794000.0,238415000.0
ECLERX.NS,2089830000,2282630000,2899840000,3540270000
EDELWEISS.NS,NaN,NaN,NaN,NaN
EDUCOMP.NS,,,,-505480000.0
EICHERMOT.NS,18274400000,22027300000,19596700000,16670800000
EIDPARRY.NS,4678700000.0,1534900000.0,2558200000.0,5208100000.0
EIHAHOTELS.NS,50330000,10360000,-54520000,67710000
EIHOTEL.NS,-305360000,311150000,-9080000,-295770000
EIMCOELECO.NS,31999000,-4607000,17385000,8977000
EKC.NS,152892000.0,73652000.0,-10321000.0,1636000.0
ELECON.NS,NaN,NaN,NaN,NaN
ELECTCAST.NS,NaN,NaN,NaN,NaN
ELECTHERM.NS,-169700000.0,146900000.0,91900000.0,-188300000.0
ELGIEQUIP.NS,-247280000,48640000,-165740000,92770000
ELGIRUBCO.NS,376390000.0,334700000.0,73620000.0,-63760000.0
EMAMILTD.NS,-1056264000,1002794000,-122095000,-721177000
EMAMIPAP.NS,3133100000.0,2750500000.0,687400000.0,-147600000.0
EMAMIREAL.NS,-2200669000,-3240796000,-1456933000,-246589000
EMCO.NS,,,-116425000.0,210995000.0
EMKAY.NS,NaN,NaN,NaN,NaN
EMMBI.NS,200490000,259160000,300570000,197550000
ENDURANCE.NS,831580000,351610000,2829750000,540260000
ENERGYDEV.NS,104551000.0,111456000.0,116815000.0,108781456.0
ENGINERSIN.NS,3756102000.0,5489979000.0,5987883000.0,2364054000.0
ENIL.NS,-197645000,59023000,-6283000,23900000
EQUITAS.NS,NaN,NaN,NaN,NaN
ERIS.NS,NaN,NaN,NaN,NaN
EROSMEDIA.NS,-14052100000,2690800000,2293400000,2574500000
ESABINDIA.NS,-243900000.0,59400000.0,-20800000.0,121000000.0
ESCORTS.NS,758400000.0,-610800000.0,849100000.0,361000000.0
ESSARSHPNG.NS,-1032300000,692800000,692800000,692800000
ESSELPACK.NS,2212400000,-253900000,337100000,133000000
ESTER.NS,247000,-4945000,-3362000,-3869000
EUROCERA.NS,NaN,NaN,NaN,NaN
EUROMULTI.NS,-18927000.0,-10772256.0,27305778.0,27767898.0
EUROTEXIND.NS,-64121000,234043000,3666000,-13306000
EVEREADY.NS,4432000.0,563000.0,-185000.0,-387000.0
EVERESTIND.NS,555969000.0,346398000.0,1481434000.0,583113000.0
EXCEL.NS,-490900,-1686210,-14718280,27257770
EXCELINDUS.NS,173343000.0,-4455000.0,7931000.0,-8989000.0
EXIDEIND.NS,-94700000,323400000,-63800000,283300000
EXPLEOSOL.NS,-189000000.0,383710000.0,-234380000.0,-24120000.0
FACT.NS,422898000.0,-396927000.0,138295000.0,122101000.0
FAIRCHEM.NS,684869000,41380000,52909000,67790000
FCL.NS,58523000.0,135818000.0,-29972000.0,-8735031.0
FCONSUMER.NS,-2158277000,-63875000,-259842000,-610055000
FCSSOFT.NS,-52372000.0,-9237000.0,684364000.0,-90086000.0
FDC.NS,99606000,-82129000,10247000,108538000
FEDERALBNK.NS,NaN,NaN,NaN,NaN
