,2020-03-31,2019-03-31,2018-03-31,2017-03-31
BOMBPOT.bo,NaN,NaN,NaN,NaN
BORORENEW.bo,NaN,NaN,NaN,NaN
LERTHAI.bo,NaN,NaN,NaN,NaN
TRIVENIGQ.bo,61565000.0,21693000.0,21694000.0,21787000.0
NILACHAL.bo,1587000.0,1579990.0,1837953.0,1806560.0
ANDHRAPAP.bo,NaN,NaN,NaN,NaN
BALKRISIND.bo,1996800000.0,1636700000.0,2322100000.0,2380600000.0
ORIENTPPR.bo,212186000.0,212186000.0,212186000.0,212186000.0
CITADEL.bo,1539000.0,988000.0,181000.0,25000.0
ROLLT.bo,250084000.0,250130000.0,250130000.0,250130000.0
SESHAPAPER.bo,NaN,NaN,NaN,NaN
SOLIDCO.bo,NaN,NaN,NaN,NaN
SHBHAWPA.bo,,,,2316000.0
NATHIND.bo,NaN,NaN,NaN,NaN
VAPIPPR.bo,1286457,1135806,1111411,249975
SINTEX.bo,594100000.0,594100000.0,594100000.0,544700000.0
DCM.bo,NaN,NaN,NaN,NaN
FORBESCO.bo,8589590000,6839827000,3927576000,4107730000
HPCOTTON.bo,38100000.0,38100000.0,38100000.0,38100000.0
UNITEDINT.bo,441916059.0,439866980.0,414076999.0,386518607.0
JAMSHRI.bo,69865000.0,69865000.0,69865020.0,69936500.0
KATRSPG.bo,3920615.0,3228689.0,2300924.0,9695283.0
KESORAMIND.bo,1425900000,1425900000,1373400000,1172700000
LAKSHMIMIL.bo,69555000.0,69555000.0,69555000.0,69555000.0
VTL.bo,93535200000.0,90162200000.0,82440900000.0,75010500000.0
MODERN.bo,156201000.0,218790000.0,143974000.0,90929000.0
PENINLAND.bo,559000000.0,558400000.0,558400000.0,558400000.0
PHOENIXLTD.bo,105473666000,101159049000,84973446000,70080998000
MARATHON.bo,627787000.0,581959000.0,30095000.0,192236000.0
RAJABAH.bo,-114191000.0,-451097000.0,-184454000.0,-165471000.0
RELCHEMQ.bo,75436000.0,39808000.0,39808000.0,39892000.0
RUBYMILLS.bo,45759000.0,362220000.0,334078000.0,261303000.0
SIMPLXREA.bo,NaN,NaN,NaN,NaN
SWANENERGY.bo,34890257000.0,31700612000.0,26363705000.0,18478744000.0
VICTMILL.bo,385694833.0,393635852.0,375821852.0,363047685.0
ZSVTRADI.bo,NaN,NaN,NaN,NaN
ZSVARAJT.bo,8641713.0,-1402494.0,-14428490.0,-27554376.0
SALSAIN.bo,32000000.0,32000000.0,32000000.0,32000000.0
INDSOYA.bo,NaN,NaN,NaN,NaN
ZODIACVEN.bo,484000.0,1164498.0,1051975.0,1736113.0
VEERENRGY.bo,7085000.0,1287000.0,8704000.0,28646000.0
SW1.bo,499000.0,560000.0,50637000.0,35741000.0
TILAK.bo,7571376.0,6773976.0,6697484.0,2603887.0
KKFIN.bo,NaN,NaN,NaN,NaN
UNIJOLL.bo,NaN,NaN,NaN,NaN
WAGEND.bo,8966479.0,9020945.0,8996472.0,10432603.0
ELCIDIN.bo,4407991000.0,3679806000.0,2577678000.0,2118154000.0
HEALINV.bo,NaN,NaN,NaN,NaN
SAHARA.bo,,215250000.0,215250000.0,215250000.0
SHRENTI.bo,NaN,NaN,NaN,NaN
BANSWRAS.bo,171160000,171160000,171160000,171160000
MODWOOL.bo,-29550000.0,-31083174.0,-33903352.0,-29363366.0
MODIPON.bo,8827000.0,41782000.0,43644600.0,35045600.0
SHRIDINE.bo,1366532000.0,1463034000.0,1471661000.0,1598715000.0
SRF.bo,930600000.0,978400000.0,1079500000.0,909800000.0
SIYSIL.bo,93740000.0,93740000.0,93740000.0,93740000.0
SWADPOL.bo,-373382000.0,-491870000.0,-571754000.0,-568378000.0
FOMEHOT.bo,98899000.0,108441000.0,66133000.0,74109000.0
SHRAJSYNQ.bo,NaN,NaN,NaN,NaN
SHRMFGC.bo,3900720.0,3900721.0,3900720.0,3900720.0
ZSATYASL.bo,NaN,NaN,NaN,NaN
BBL.bo,NaN,NaN,NaN,NaN
ELPROINTL.bo,169479000.0,169479000.0,138350000.0,138350000.0
EMCO.bo,,135819000.0,135819000.0,135552000.0
GEE.bo,47251756.0,47251756.0,47251756.0,47251756.0
HIRECT.bo,33127000.0,33127000.0,33127000.0,30116000.0
NIPPOBATRY.bo,5109619000.0,4810699000.0,4307465000.0,3291757000.0
ZENSARTECH.bo,35955500000.0,30897200000.0,22964200000.0,21056800000.0
JYOTI.bo,NaN,NaN,NaN,NaN
JSLINDL.bo,147671270,144555147,181048061,177767931
KAYCEEI.bo,6347000.0,6347000.0,6347000.0,6347000.0
INDOKEM.bo,243300000.0,243300000.0,243300000.0,243300000.0
PANAENERG.bo,NaN,NaN,NaN,NaN
NELCO.bo,228200000.0,228200000.0,228200000.0,228200000.0
PERMAGN.bo,85984530.0,85984530.0,85984530.0,85984530.0
HIGHENE.bo,17928000.0,17928000.0,17928000.0,17928000.0
STDBAT.bo,-57210750.0,-67963730.0,-79171210.0,-78584030.0
UNIVCABLES.bo,346954000,346954000,346954000,346954000
WSIND.bo,642720000.0,373910000.0,1664390000.0,1674450000.0
DLTNCBL.bo,86400000,86400000,86400000,86400000
LAKSELEC.bo,8210000.0,7021000.0,6374000.0,95292000.0
MODULEX.bo,NaN,NaN,NaN,NaN
DELTAMAGNT.bo,108511200.0,108511200.0,64710140.0,64710140.0
PAZEL.bo,NaN,NaN,NaN,NaN
CONFINT.bo,12427443.0,12316415.0,12248854.0,11765493.0
RELTD.bo,1198800000.0,1198800000.0,1179230000.0,1179230000.0
GDTRAGN.bo,NaN,NaN,NaN,NaN
EMPOWER.bo,1506599000.0,19396000.0,19396000.0,101642280.0
ZMULTIPU.bo,-948170.0,-1338783.0,-1884800.0,-3099539.0
REMISIN.bo,NaN,NaN,NaN,NaN
RIDHISYN.bo,NaN,NaN,NaN,NaN
SOFTBPO.bo,,35000.0,34000.0,29000.0
NYSSACORP.bo,21470000.0,26444446.0,2945000.0,5325000.0
ZVINADTR.bo,31934000.0,1182622.0,2476881.0,7702673.0
AVTIL.bo,-13310664.0,-26366158.0,167341251.0,267055944.0
KRISHNA.bo,,38343000.0,42314000.0,42201000.0
GANHOLD.bo,NaN,NaN,NaN,NaN
SJCORP.bo,NaN,NaN,NaN,NaN
UNIABEXAL.bo,19750000.0,19750000.0,19750000.0,19750000.0
SARDAEN.bo,40996800000,36820300000,34126131000,31151170000
BGWTATO.bo,28807000.0,28807000.0,28807000.0,28807000.0
BOMBWIR.bo,-7122164.0,-5316337.0,-6101999.0,-6466717.0
UNIVPRIM.bo,79674430.0,79674430.0,79674430.0,79674430.0
GALADA.bo,NaN,NaN,NaN,NaN
STRIPMT.bo,NaN,NaN,NaN,NaN
IBRIGST.bo,100482.0,100482.0,100482.0,100482.0
INDIANHUME.bo,378462000,649749000,430576000,586377000
INLCM.bo,370996.0,7239083.0,85138.0,301125.0
INVPRECQ.bo,48552000.0,83327000.0,101454000.0,101665347.0
INFORTEC.bo,5036599.0,4083413.0,4025729.0,3794340.0
KAIRA.bo,9221000.0,9221000.0,9221000.0,9221000.0
ORIENTABRA.bo,NaN,NaN,NaN,NaN
NATIONSTD.bo,3700000.0,,1758000.0,13282000.0
